Date(UTC),UnixTimeStamp,Value
3/13/16,1457827200,28127
3/14/16,1457913600,28528
3/15/16,1458000000,29273
3/16/16,1458086400,27596
3/17/16,1458172800,33531
3/18/16,1458259200,31821
3/19/16,1458345600,34779
3/20/16,1458432000,32447
3/21/16,1458518400,32511
3/22/16,1458604800,32890
3/23/16,1458691200,31786
3/24/16,1458777600,36947
3/25/16,1458864000,36762
3/26/16,1458950400,36646
3/27/16,1459036800,29974
3/28/16,1459123200,33613
3/29/16,1459209600,33915
3/30/16,1459296000,36767
3/31/16,1459382400,32259
4/1/16,1459468800,33320
4/2/16,1459555200,29358
4/3/16,1459641600,29588
4/4/16,1459728000,34907
4/5/16,1459814400,39173
4/6/16,1459900800,32078
4/7/16,1459987200,31893
4/8/16,1460073600,34010
4/9/16,1460160000,31923
4/10/16,1460246400,32237
4/11/16,1460332800,30327
4/12/16,1460419200,34673
4/13/16,1460505600,36051
4/14/16,1460592000,34781
4/15/16,1460678400,34959
4/16/16,1460764800,30483
4/17/16,1460851200,40203
4/18/16,1460937600,33513
4/19/16,1461024000,32622
4/20/16,1461110400,32944
4/21/16,1461196800,37181
4/22/16,1461283200,31678
4/23/16,1461369600,31845
4/24/16,1461456000,34046
4/25/16,1461542400,35430
4/26/16,1461628800,32582
4/27/16,1461715200,33847
4/28/16,1461801600,34343
4/29/16,1461888000,37332
4/30/16,1461974400,45769
5/1/16,1462060800,39578
5/2/16,1462147200,41748
5/3/16,1462233600,37821
5/4/16,1462320000,37484
5/5/16,1462406400,38707
5/6/16,1462492800,41271
5/7/16,1462579200,35864
5/8/16,1462665600,40063
5/9/16,1462752000,38560
5/10/16,1462838400,40684
5/11/16,1462924800,40811
5/12/16,1463011200,45002
5/13/16,1463097600,47737
5/14/16,1463184000,45745
5/15/16,1463270400,43073
5/16/16,1463356800,37424
5/17/16,1463443200,40309
5/18/16,1463529600,46033
5/19/16,1463616000,44523
5/20/16,1463702400,45177
5/21/16,1463788800,43621
5/22/16,1463875200,38895
5/23/16,1463961600,43806
5/24/16,1464048000,42911
5/25/16,1464134400,46443
5/26/16,1464220800,51147
5/27/16,1464307200,49006
5/28/16,1464393600,70148
5/29/16,1464480000,45890
5/30/16,1464566400,42927
5/31/16,1464652800,44386
6/1/16,1464739200,42221
6/2/16,1464825600,39666
6/3/16,1464912000,39834
6/4/16,1464998400,37875
6/5/16,1465084800,37896
6/6/16,1465171200,38957
6/7/16,1465257600,46141
6/8/16,1465344000,40433
6/9/16,1465430400,39854
6/10/16,1465516800,40145
6/11/16,1465603200,36901
6/12/16,1465689600,42581
6/13/16,1465776000,46185
6/14/16,1465862400,50335
6/15/16,1465948800,43251
6/16/16,1466035200,43392
6/17/16,1466121600,66558
6/18/16,1466208000,63083
6/19/16,1466294400,51035
6/20/16,1466380800,47118
6/21/16,1466467200,47323
6/22/16,1466553600,48615
6/23/16,1466640000,41908
6/24/16,1466726400,45331
6/25/16,1466812800,36684
6/26/16,1466899200,41613
6/27/16,1466985600,39663
6/28/16,1467072000,43089
6/29/16,1467158400,49897
6/30/16,1467244800,63952
7/1/16,1467331200,40085
7/2/16,1467417600,39257
7/3/16,1467504000,39757
7/4/16,1467590400,39950
7/5/16,1467676800,39270
7/6/16,1467763200,37900
7/7/16,1467849600,40433
7/8/16,1467936000,42506
7/9/16,1468022400,40410
7/10/16,1468108800,39358
7/11/16,1468195200,38582
7/12/16,1468281600,40811
7/13/16,1468368000,35740
7/14/16,1468454400,42809
7/15/16,1468540800,41110
7/16/16,1468627200,38062
7/17/16,1468713600,33914
7/18/16,1468800000,39198
7/19/16,1468886400,44184
7/20/16,1468972800,50631
7/21/16,1469059200,44882
7/22/16,1469145600,48458
7/23/16,1469232000,45006
7/24/16,1469318400,58215
7/25/16,1469404800,54856
7/26/16,1469491200,61930
7/27/16,1469577600,53035
7/28/16,1469664000,48555
7/29/16,1469750400,47243
7/30/16,1469836800,42011
7/31/16,1469923200,48749
8/1/16,1470009600,45978
8/2/16,1470096000,49041
8/3/16,1470182400,49475
8/4/16,1470268800,46761
8/5/16,1470355200,43212
8/6/16,1470441600,41487
8/7/16,1470528000,42955
8/8/16,1470614400,42984
8/9/16,1470700800,47057
8/10/16,1470787200,46290
8/11/16,1470873600,48171
8/12/16,1470960000,44400
8/13/16,1471046400,41088
8/14/16,1471132800,40577
8/15/16,1471219200,42302
8/16/16,1471305600,48949
8/17/16,1471392000,44867
8/18/16,1471478400,47799
